id;quantity_ordered;date;invoice_number;product_ordered;price_payment;provider_id;order_placed_id
1;86696;2022-05-07T08:38:15;Guapa Inteligente;Colegio circuit Morado;97365;1;1
2;14777;2022-05-07T15:20:36;Personal Sabroso mission-criti;Bricolaje Queso SMS;88746;2;2
3;20475;2022-05-06T23:29:18;fritas relationships;Bicicleta Madera Buckinghamshi;56704;3;3
4;95516;2022-05-07T21:48:37;override;Suiza SMS;2488;4;4
5;93466;2022-05-07T12:45:02;amplio Artesanal Ucrania;asimétrica Hogar;10414;5;5
6;22461;2022-05-07T16:19:29;indexing programming;haptic Guayana;24112;6;6
7;480;2022-05-07T18:41:44;uniforme Avon Parafarmacia;Electrónica Práctico Moda;65811;7;7
8;39010;2022-05-07T06:10:32;asíncrona Ordenador;Vasco;32453;8;8
9;69673;2022-05-07T17:27:56;Funcionario y;Acero Rampa;42882;9;9
10;64172;2022-05-07T06:41:32;Pequeño;Sterling;89508;10;10
